mechanism,task,capacity,regime,sequence_length,loss,token_accuracy,exact_match,parameters
softmax,state_tracking,4,interpolation,28,1.459606409072876,0.2618408203125,0.0,5007640
softmax,state_tracking,8,interpolation,56,2.1937899589538574,0.1555938720703125,0.0,5007640
softmax,state_tracking,16,interpolation,96,2.851836681365967,0.1226348876953125,0.0,5007640
softmax,state_tracking,32,extrapolation,176,4.03829288482666,0.0577850341796875,0.0,5007640
softmax,state_tracking,64,extrapolation,336,4.994684219360352,0.031768798828125,0.0,5007640
softmax,paraphrased_retrieval,4,interpolation,15,1.5431554317474365,0.2701416015625,0.2701416015625,5007640
softmax,paraphrased_retrieval,8,interpolation,27,2.408287286758423,0.1514892578125,0.1514892578125,5007640
softmax,paraphrased_retrieval,16,interpolation,51,3.2573471069335938,0.09912109375,0.09912109375,5007640
softmax,paraphrased_retrieval,32,extrapolation,99,4.111056327819824,0.0572509765625,0.0572509765625,5007640
softmax,paraphrased_retrieval,64,extrapolation,195,4.836189270019531,0.0318603515625,0.0318603515625,5007640
linear_attention,associative_recall,4,interpolation,14,1.618905782699585,0.263427734375,0.263427734375,5006884
linear_attention,associative_recall,8,interpolation,26,2.5917232036590576,0.1536865234375,0.1536865234375,5006884
linear_attention,associative_recall,16,interpolation,50,3.4585258960723877,0.100341796875,0.100341796875,5006884
linear_attention,associative_recall,32,extrapolation,98,4.4821014404296875,0.0469970703125,0.0469970703125,5006884
linear_attention,associative_recall,64,extrapolation,194,5.40974235534668,0.02734375,0.02734375,5006884
linear_attention,multi_query_recall,4,interpolation,20,1.542640209197998,0.266998291015625,0.009033203125,5006884
linear_attention,multi_query_recall,8,interpolation,40,2.427966356277466,0.1564788818359375,0.0,5006884
linear_attention,multi_query_recall,16,interpolation,64,3.3506884574890137,0.094818115234375,0.0,5006884
linear_attention,multi_query_recall,32,extrapolation,112,4.393352508544922,0.0508270263671875,0.0,5006884
linear_attention,multi_query_recall,64,extrapolation,208,5.736764430999756,0.02874755859375,0.0,5006884
linear_attention,induction,4,interpolation,7,3.2843672670423985e-07,1.0,1.0,5006884
linear_attention,induction,8,interpolation,11,2.0903826225548983e-07,1.0,1.0,5006884
linear_attention,induction,16,interpolation,19,2.7430360205471516e-08,1.0,1.0,5006884
linear_attention,induction,32,extrapolation,35,5.6396307945251465,0.1295166015625,0.1295166015625,5006884
linear_attention,induction,64,extrapolation,67,8.100442886352539,0.0172119140625,0.0172119140625,5006884
linear_attention,copying,4,interpolation,20,17.018901824951172,0.1554412841796875,0.0,5006884
linear_attention,copying,8,interpolation,24,11.796777725219727,0.28656005859375,0.0,5006884
linear_attention,copying,16,interpolation,32,0.0005773643497377634,1.0,1.0,5006884
linear_attention,copying,32,extrapolation,48,7.913806915283203,0.283721923828125,0.0,5006884
linear_attention,copying,64,extrapolation,80,16.925716400146484,0.068756103515625,0.0,5006884
linear_attention,nested_scopes,4,interpolation,26,6.167229652404785,0.2791748046875,0.0,5006884
linear_attention,nested_scopes,8,interpolation,54,4.209926128387451,0.4992523193359375,0.0,5006884
linear_attention,nested_scopes,16,interpolation,110,1.3763598203659058,0.6550827026367188,0.0,5006884
linear_attention,nested_scopes,32,extrapolation,222,8.014337539672852,0.046173095703125,0.0,5006884
linear_attention,nested_scopes,64,extrapolation,446,9.15429401397705,0.026269912719726562,0.0,5006884
linear_attention,state_tracking,4,interpolation,28,1.4633221626281738,0.2630615234375,0.0,5006884
linear_attention,state_tracking,8,interpolation,56,2.2716526985168457,0.1568450927734375,0.0,5006884
linear_attention,state_tracking,16,interpolation,96,3.0021276473999023,0.11773681640625,0.0,5006884
linear_attention,state_tracking,32,extrapolation,176,3.750345230102539,0.1020660400390625,0.0,5006884
linear_attention,state_tracking,64,extrapolation,336,4.138721466064453,0.09356689453125,0.0,5006884
linear_attention,paraphrased_retrieval,4,interpolation,15,1.6319562196731567,0.26123046875,0.26123046875,5006884
linear_attention,paraphrased_retrieval,8,interpolation,27,2.629305601119995,0.1590576171875,0.1590576171875,5006884
linear_attention,paraphrased_retrieval,16,interpolation,51,3.491875410079956,0.096435546875,0.096435546875,5006884
linear_attention,paraphrased_retrieval,32,extrapolation,99,4.423269271850586,0.0537109375,0.0537109375,5006884
linear_attention,paraphrased_retrieval,64,extrapolation,195,5.528951644897461,0.0272216796875,0.0272216796875,5006884
ssm,associative_recall,4,interpolation,14,3.3807952404022217,0.2294921875,0.2294921875,5006860
ssm,associative_recall,8,interpolation,26,4.083099365234375,0.1011962890625,0.1011962890625,5006860
ssm,associative_recall,16,interpolation,50,4.345426559448242,0.068115234375,0.068115234375,5006860
ssm,associative_recall,32,extrapolation,98,6.026252746582031,0.034423828125,0.034423828125,5006860
ssm,associative_recall,64,extrapolation,194,6.34999418258667,0.0234375,0.0234375,5006860
ssm,multi_query_recall,4,interpolation,20,3.514242172241211,0.181884765625,0.00390625,5006860
ssm,multi_query_recall,8,interpolation,40,4.188521385192871,0.0758819580078125,0.0001220703125,5006860
ssm,multi_query_recall,16,interpolation,64,4.398512363433838,0.0501556396484375,0.0,5006860
ssm,multi_query_recall,32,extrapolation,112,4.7682366371154785,0.0243988037109375,0.0,5006860
ssm,multi_query_recall,64,extrapolation,208,5.250669479370117,0.0159759521484375,0.0,5006860
ssm,induction,4,interpolation,7,0.00026165327290073037,1.0,1.0,5006860
ssm,induction,8,interpolation,11,0.00014798376651015133,1.0,1.0,5006860
ssm,induction,16,interpolation,19,4.807894583791494e-06,1.0,1.0,5006860
ssm,induction,32,extrapolation,35,11.929491996765137,0.01220703125,0.01220703125,5006860
ssm,induction,64,extrapolation,67,14.476668357849121,0.0111083984375,0.0111083984375,5006860
ssm,copying,4,interpolation,20,4.5642547607421875,0.010284423828125,0.0,5006860
ssm,copying,8,interpolation,24,4.564361572265625,0.010894775390625,0.0,5006860
ssm,copying,16,interpolation,32,4.564320087432861,0.01068115234375,0.0,5006860
ssm,copying,32,extrapolation,48,4.564413547515869,0.0099945068359375,0.0,5006860
ssm,copying,64,extrapolation,80,4.564277172088623,0.0103607177734375,0.0,5006860
ssm,nested_scopes,4,interpolation,26,2.8526477813720703,0.352996826171875,0.00048828125,5006860
ssm,nested_scopes,8,interpolation,54,3.1508281230926514,0.3026123046875,0.0,5006860
ssm,nested_scopes,16,interpolation,110,3.697378396987915,0.19632720947265625,0.0,5006860
ssm,nested_scopes,32,extrapolation,222,4.69034481048584,0.032238006591796875,0.0,5006860
ssm,nested_scopes,64,extrapolation,446,6.294716835021973,0.014705657958984375,0.0,5006860
ssm,state_tracking,4,interpolation,28,4.79671049118042,0.027008056640625,0.0,5006860
ssm,state_tracking,8,interpolation,56,4.551612377166748,0.0190277099609375,0.0,5006860
ssm,state_tracking,16,interpolation,96,4.491449356079102,0.0202178955078125,0.0,5006860
ssm,state_tracking,32,extrapolation,176,5.372989654541016,0.016693115234375,0.0,5006860
ssm,state_tracking,64,extrapolation,336,4.930327892303467,0.0172119140625,0.0,5006860
ssm,paraphrased_retrieval,4,interpolation,15,3.8926305770874023,0.1182861328125,0.1182861328125,5006860
ssm,paraphrased_retrieval,8,interpolation,27,4.306571006774902,0.05712890625,0.05712890625,5006860
ssm,paraphrased_retrieval,16,interpolation,51,4.440816879272461,0.0396728515625,0.0396728515625,5006860
ssm,paraphrased_retrieval,32,extrapolation,99,4.836467742919922,0.023193359375,0.023193359375,5006860
ssm,paraphrased_retrieval,64,extrapolation,195,5.263210296630859,0.01708984375,0.01708984375,5006860
gru,associative_recall,4,interpolation,14,1.6067341566085815,0.2679443359375,0.2679443359375,5007116
gru,associative_recall,8,interpolation,26,2.41681170463562,0.15576171875,0.15576171875,5007116
gru,associative_recall,16,interpolation,50,3.1943745613098145,0.104736328125,0.104736328125,5007116
gru,associative_recall,32,extrapolation,98,4.153229713439941,0.0655517578125,0.0655517578125,5007116
gru,associative_recall,64,extrapolation,194,5.463751792907715,0.034423828125,0.034423828125,5007116
gru,multi_query_recall,4,interpolation,20,2.070986032485962,0.264556884765625,0.007080078125,5007116
gru,multi_query_recall,8,interpolation,40,2.338726282119751,0.1522979736328125,0.0,5007116
gru,multi_query_recall,16,interpolation,64,3.1161422729492188,0.1049346923828125,0.0,5007116
gru,multi_query_recall,32,extrapolation,112,4.1529412269592285,0.059906005859375,0.0,5007116
gru,multi_query_recall,64,extrapolation,208,5.060692310333252,0.03302001953125,0.0,5007116
gru,induction,4,interpolation,7,7.243070285767317e-07,1.0,1.0,5007116
gru,induction,8,interpolation,11,1.9752769730985165e-07,1.0,1.0,5007116
gru,induction,16,interpolation,19,1.409207470715046e-07,1.0,1.0,5007116
gru,induction,32,extrapolation,35,0.035854145884513855,0.990478515625,0.990478515625,5007116
gru,induction,64,extrapolation,67,7.793544292449951,0.0435791015625,0.0435791015625,5007116
gru,copying,4,interpolation,20,0.9120699763298035,0.831268310546875,0.1619873046875,5007116
gru,copying,8,interpolation,24,0.013370569795370102,0.9955596923828125,0.96484375,5007116
gru,copying,16,interpolation,32,2.6522238840698265e-05,1.0,1.0,5007116
gru,copying,32,extrapolation,48,0.32050222158432007,0.9255218505859375,0.4779052734375,5007116
gru,copying,64,extrapolation,80,0.9588943123817444,0.8287506103515625,0.127685546875,5007116
gru,nested_scopes,4,interpolation,26,4.818129062652588,0.30096435546875,0.0001220703125,5007116
gru,nested_scopes,8,interpolation,54,6.627689361572266,0.1929168701171875,0.0,5007116
gru,nested_scopes,16,interpolation,110,1.6834461688995361,0.5967941284179688,0.0,5007116
gru,nested_scopes,32,extrapolation,222,9.559404373168945,0.050754547119140625,0.0,5007116
gru,nested_scopes,64,extrapolation,446,8.846661567687988,0.02544403076171875,0.0,5007116
gru,state_tracking,4,interpolation,28,1.6149942874908447,0.256866455078125,0.0001220703125,5007116
gru,state_tracking,8,interpolation,56,2.1692748069763184,0.1482696533203125,0.0,5007116
gru,state_tracking,16,interpolation,96,2.7696633338928223,0.128326416015625,0.0,5007116
gru,state_tracking,32,extrapolation,176,3.294753074645996,0.1218414306640625,0.0,5007116
gru,state_tracking,64,extrapolation,336,3.3568496704101562,0.1174468994140625,0.0,5007116
gru,paraphrased_retrieval,4,interpolation,15,1.6288012266159058,0.267578125,0.267578125,5007116
gru,paraphrased_retrieval,8,interpolation,27,2.477987766265869,0.1546630859375,0.1546630859375,5007116
gru,paraphrased_retrieval,16,interpolation,51,3.264289379119873,0.10400390625,0.10400390625,5007116
gru,paraphrased_retrieval,32,extrapolation,99,4.416494846343994,0.0537109375,0.0537109375,5007116
gru,paraphrased_retrieval,64,extrapolation,195,5.65500020980835,0.03271484375,0.03271484375,5007116
